PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10,32,138523,34081
20,32,114632,32506
30,32,95183,27886
40,32,78134,24534
50,32,60587,19955
60,32,44338,14162
70,32,49497,15609
80,32,41882,13382
90,32,40787,12822
100,32,36443,12198
110,32,34358,11264
120,32,35253,12161
130,32,27049,8921
140,32,22698,6895
150,32,21238,6426
160,32,21881,6901
170,32,17203,5307
180,32,17959,5135
190,32,15883,4310
200,32,16151,4492
210,32,14003,3937
220,32,11318,2583
230,32,10164,1920
240,32,9090,1865
250,32,9552,2338
260,32,9478,2445
270,32,6886,1744
280,32,7661,1751
290,32,7838,1810
300,32,8656,2286
310,32,7608,2028
320,32,8184,2006
330,32,6451,1636
340,32,7575,1781
350,32,7406,1672
360,32,7195,1946
370,32,6449,1436
380,32,5990,1357
390,32,6774,1690
400,32,6477,1419
410,32,5761,1335
420,32,5029,1288
430,32,6677,1383
440,32,6475,1372
450,32,6776,1291
460,32,6047,1347
470,32,4421,1235
480,32,6034,1312
490,32,6108,1354
500,32,4169,1127
510,32,5660,1252
520,32,5522,1270
530,32,5221,1273
540,32,5100,1247
550,32,5784,1268
560,32,4615,1131
570,32,6162,1224
580,32,6360,1292
590,32,5345,1264
600,32,4442,1199
610,32,4890,1222
620,32,5235,1242
630,32,5809,1285
640,32,5105,1146
650,32,4635,1131
660,32,5600,1203
670,32,5661,1228
680,32,6061,1235
690,32,5596,1221
700,32,5743,1227
710,32,5464,1217
720,32,5737,1236
730,32,6230,1237
740,32,6149,1247
750,32,6058,1140
760,32,4931,1092
770,32,5029,1134
780,32,4863,1133
790,32,5094,1161
800,32,5084,1146
810,32,4980,1158
820,32,5176,1175
830,32,5292,1192
840,32,4924,1205
850,32,5263,1200
860,32,5494,1154
870,32,5405,1193
880,32,5372,1183
890,32,5286,1164
900,32,5059,1028
910,32,4889,1049
920,32,5031,1070
930,32,5023,1081
940,32,5115,1084
950,32,5065,1127
960,32,5277,1117
970,32,5103,1135
980,32,5556,1138
990,32,5803,1169
1000,32,5595,1156
1010,32,5410,1175
1020,32,5653,1153
1030,32,4967,1100
1040,32,5161,1135
1050,32,5812,1183
1060,32,6050,1207
1070,32,5780,1241
1080,32,6033,1230
1090,32,6153,1238
1100,32,5989,1196
1110,32,5636,1203
1120,32,5228,1037
1130,32,5573,1066
1140,32,5269,1039
1150,32,5508,1081
1160,32,5650,1032
1170,32,6195,1101
1180,32,5695,1088
1190,32,4922,1009
1200,32,5471,1085
1210,32,5948,1095
1220,32,5558,1091
1230,32,5697,1071
1240,32,5696,1077
1250,32,6334,1127
1260,32,5685,1105
1270,32,6032,1120
1280,32,6671,1152
1290,32,6161,1132
1300,32,6284,1168
1310,32,6166,1148
1320,32,6375,1203
1330,32,5854,1145
1340,32,6488,1197
1350,32,5942,1214
1360,32,6016,1193
1370,32,6408,1195
1380,32,6614,1210
1390,32,6787,1218
1400,32,6822,1279
1410,32,6702,1230
1420,32,5894,1170
1430,32,6869,1262
1440,32,6468,1186
1450,32,6994,1221
1460,32,6434,1231
1470,32,7358,1256
1480,32,6499,1232
1490,32,6851,1225
1500,32,6269,1044
1510,32,6701,1042
1520,32,6223,975
1530,32,6083,1023
1540,32,6767,1103
1550,32,6579,1112
1560,32,5999,1097
1570,32,6856,1224
1580,32,6483,1121
1590,32,6323,1095
1600,32,6253,1044
1610,32,6178,1037
1620,32,6851,1089
1630,32,5946,1099
1640,32,6135,1116
1650,32,6722,1075
1660,32,7361,1222
1670,32,6237,1117
1680,32,5781,1059
1690,32,5814,1071
1700,32,5776,1037
1710,32,7092,1094
1720,32,6358,1079
1730,32,6146,1029
1740,32,6818,1058
1750,32,7216,1198
1760,32,6820,1168
1770,32,5332,980
1780,32,6407,1055
1790,32,6689,1124
1800,32,5996,1142
1810,32,5811,1086
1820,32,6469,1098
1830,32,6692,1130
1840,32,5750,1057
1850,32,5790,1176
1860,32,5967,1202
1870,32,5939,1178
1880,32,6503,1175
1890,32,6205,1214
1900,32,6604,1235
1910,32,5662,1194
1920,32,7063,1223
1930,32,6518,1181
1940,32,6562,1199
1950,32,6627,1214
1960,32,6406,1176
1970,32,6507,1219
1980,32,6692,1242
1990,32,6757,1221
2000,32,6365,1201
2010,32,7390,1267
2020,32,7078,1238
2030,32,6588,1246
2040,32,6912,1206
2050,32,7297,1249
2060,32,6791,1245
2070,32,7240,1272
2080,32,7001,1277
2090,32,7325,1291
2100,32,7022,1256
2110,32,6972,1277
2120,32,7020,1297
2130,32,7525,1304
2140,32,7955,1344
2150,32,7172,1378
2160,32,7673,1296
2170,32,7894,1335
2180,32,7327,1308
2190,32,7469,1311
2200,32,7319,1300
2210,32,7668,1413
2220,32,7166,1308
2230,32,7547,1261
2240,32,6750,1006
2250,32,6709,1045
2260,32,6716,1041
2270,32,7287,1054
2280,32,5949,1024
2290,32,6246,1047
2300,32,7446,1076
2310,32,6167,1055
2320,32,6629,1050
2330,32,7479,1090
2340,32,5732,1021
2350,32,6871,1055
2360,32,6822,1058
2370,32,5970,1019
2380,32,6537,1131
2390,32,7272,1105
2400,32,6553,1058
2410,32,6526,1047
