PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10,128,123713,31895
20,128,88760,27529
30,128,70454,22472
40,128,64472,21310
50,128,40491,14020
60,128,40491,13740
70,128,32239,10826
80,128,24850,8400
90,128,20181,6209
100,128,21232,7305
110,128,18484,6081
120,128,22870,7787
130,128,16557,5619
140,128,18121,6092
150,128,15808,5209
160,128,10771,3271
170,128,11122,3624
180,128,8818,2601
190,128,8820,2551
200,128,7429,2407
210,128,5607,1816
220,128,6377,1787
230,128,5247,1386
240,128,3571,1281
250,128,4706,1368
260,128,4538,1290
270,128,3483,1008
280,128,2905,963
290,128,3267,966
300,128,3020,1033
310,128,4205,1019
320,128,4023,1283
330,128,4452,1270
340,128,3553,928
350,128,4504,1255
360,128,3146,1083
370,128,2643,907
380,128,3635,931
390,128,2568,842
400,128,2670,817
410,128,2666,861
420,128,2671,837
430,128,2780,863
440,128,2671,868
450,128,2562,821
460,128,2517,826
470,128,2482,802
480,128,3195,871
490,128,3219,933
500,128,2376,747
510,128,3504,865
520,128,2727,856
530,128,2654,866
540,128,2708,844
550,128,2601,831
560,128,2553,810
570,128,2606,800
580,128,2516,787
590,128,2569,797
600,128,2717,835
610,128,2572,808
620,128,2351,763
630,128,2415,764
640,128,2427,784
650,128,2571,801
660,128,2753,812
670,128,2913,829
680,128,3243,832
690,128,2575,789
700,128,2779,827
710,128,2808,764
720,128,2607,754
730,128,2573,766
740,128,2414,755
750,128,2532,765
760,128,2427,773
770,128,2498,762
780,128,2459,734
790,128,2484,749
800,128,2693,713
810,128,2621,760
820,128,2474,733
830,128,2456,743
840,128,2537,740
850,128,2647,741
860,128,2649,722
870,128,2469,715
880,128,2344,700
890,128,2384,707
900,128,2411,692
910,128,2422,696
920,128,2518,700
930,128,2471,660
940,128,2214,634
950,128,2318,657
960,128,2397,668
970,128,2464,677
980,128,2323,647
990,128,2577,675
1000,128,2369,675
1010,128,2158,603
1020,128,2410,655
1030,128,2343,654
1040,128,2328,643
1050,128,2408,645
1060,128,2542,670
1070,128,2359,682
1080,128,2255,603
1090,128,2372,652
1100,128,2477,653
1110,128,2520,636
1120,128,2365,631
1130,128,2189,575
1140,128,2049,527
1150,128,2274,614
1160,128,2270,576
1170,128,2564,673
1180,128,2488,638
1190,128,2328,619
1200,128,2573,629
1210,128,2463,656
1220,128,2509,637
1230,128,2374,597
1240,128,2220,622
1250,128,2587,626
1260,128,2463,616
1270,128,2515,649
1280,128,2353,611
1290,128,2671,665
1300,128,2577,639
1310,128,2470,632
1320,128,2552,646
1330,128,2192,595
1340,128,2663,596
1350,128,2351,564
1360,128,2552,607
1370,128,2345,592
1380,128,2122,570
1390,128,2689,609
1400,128,2292,597
1410,128,2611,588
1420,128,2214,591
1430,128,2402,601
1440,128,2118,532
1450,128,2455,568
1460,128,2229,539
1470,128,2840,608
1480,128,2098,536
1490,128,2453,565
1500,128,2294,557
1510,128,2857,557
1520,128,1928,486
1530,128,2442,516
1540,128,2219,509
1550,128,2430,523
1560,128,2225,510
1570,128,2640,537
1580,128,2202,497
1590,128,2191,493
1600,128,2129,477
1610,128,2402,523
1620,128,2889,542
1630,128,2924,596
1640,128,2457,515
1650,128,2358,521
1660,128,2704,533
1670,128,2603,526
1680,128,2489,543
1690,128,3145,592
1700,128,2505,549
1710,128,2533,516
1720,128,2344,509
1730,128,2313,507
1740,128,2877,542
1750,128,2855,532
1760,128,3015,528
1770,128,2159,466
1780,128,2707,506
1790,128,2484,498
1800,128,2453,530
1810,128,2260,470
1820,128,3032,559
1830,128,2750,552
1840,128,2190,481
1850,128,2025,475
1860,128,2241,499
1870,128,2379,522
1880,128,2769,497
1890,128,2452,485
1900,128,2720,552
1910,128,2290,506
1920,128,2660,524
1930,128,2255,479
1940,128,2620,472
1950,128,2251,465
1960,128,2671,495
1970,128,2261,484
1980,128,2193,457
1990,128,2381,441
2000,128,2377,463
2010,128,2571,495
2020,128,2492,482
2030,128,2066,451
2040,128,2457,471
2050,128,2404,486
2060,128,2642,486
2070,128,2912,463
2080,128,2292,458
2090,128,2652,496
2100,128,2071,441
2110,128,2499,486
2120,128,2399,486
2130,128,2349,480
2140,128,2190,458
2150,128,2755,459
2160,128,2542,442
2170,128,3193,536
2180,128,2822,485
2190,128,2338,478
2200,128,2419,452
2210,128,2735,476
2220,128,2581,447
2230,128,2588,487
2240,128,2432,458
2250,128,2248,428
2260,128,2869,466
2270,128,3066,494
2280,128,2379,446
2290,128,2421,450
2300,128,3044,491
2310,128,2236,440
2320,128,3168,438
2330,128,2569,457
2340,128,2230,465
2350,128,2873,471
2360,128,2423,457
2370,128,2911,469
2380,128,2268,445
2390,128,2995,483
2400,128,2386,449
2410,128,2845,453
2420,128,3660,534
2430,128,2376,442
2440,128,3108,482
2450,128,2730,470
2460,128,2365,437
2470,128,3637,496
2480,128,2681,477
2490,128,2646,463
2500,128,3369,492
2510,128,2506,465
2520,128,3105,487
2530,128,2677,512
2540,128,2424,509
2550,128,3045,481
2560,128,2982,465
2570,128,2926,446
2580,128,2402,441
2590,128,2655,450
2600,128,3015,467
2610,128,2996,493
2620,128,3101,478
2630,128,2407,437
2640,128,3393,485
2650,128,2896,456
2660,128,2218,440
2670,128,2988,487
2680,128,2628,454
2690,128,2632,458
2700,128,3534,462
2710,128,2859,461
2720,128,2195,429
2730,128,3244,456
2740,128,2895,427
2750,128,2327,448
2760,128,2772,483
2770,128,2559,447
2780,128,2274,434
2790,128,2793,476
2800,128,3542,510
2810,128,3504,497
2820,128,2696,452
2830,128,3436,492
2840,128,3314,454
2850,128,3124,439
2860,128,3305,449
2870,128,3258,475
2880,128,2995,476
2890,128,2379,453
2900,128,3870,513
2910,128,3044,466
2920,128,2775,465
2930,128,3039,473
2940,128,2719,476
2950,128,2173,419
2960,128,2414,441
