PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10,64,415203,55291
20,64,337562,51615
30,64,303495,49990
40,64,274387,48099
50,64,250565,43338
60,64,226771,39329
70,64,203614,36376
80,64,184780,33374
90,64,171749,31150
100,64,165984,29735
110,64,154437,27777
120,64,152509,27058
130,64,141434,25484
140,64,136165,24493
150,64,129784,23539
160,64,125758,22845
170,64,121981,22014
180,64,116551,21120
190,64,113213,20484
200,64,110965,20072
210,64,108112,19471
220,64,104768,18897
230,64,101503,18356
240,64,102152,18311
250,64,98425,17679
260,64,97024,17408
270,64,93697,16796
280,64,92655,16615
290,64,92503,16472
300,64,89067,15981
310,64,89244,15828
320,64,86572,15411
330,64,84553,15147
340,64,84025,14990
350,64,83240,14774
360,64,81896,14504
370,64,82237,14533
380,64,79103,14104
390,64,77312,13784
400,64,76750,13775
410,64,76050,13524
420,64,76098,13505
430,64,75807,13411
440,64,74183,13125
450,64,72600,12905
460,64,72014,12792
470,64,70669,12578
480,64,69684,12339
490,64,71488,12501
500,64,69591,12189
510,64,70800,12315
520,64,69971,12161
530,64,67962,11911
540,64,68641,11921
550,64,67733,11868
560,64,66812,11704
570,64,65682,11584
580,64,66231,11423
590,64,66066,11502
600,64,65790,11308
610,64,65188,11188
620,64,63326,11047
630,64,63270,10990
640,64,63890,10975
650,64,63991,10924
660,64,64465,10922
670,64,62551,10740
680,64,61218,10594
690,64,62419,10656
700,64,63238,10641
710,64,65196,10783
720,64,62013,10392
730,64,62180,10348
740,64,60274,10232
750,64,60287,10201
760,64,59540,10107
770,64,61676,10246
780,64,62929,10294
790,64,62456,10225
800,64,60619,10088
810,64,60077,9931
820,64,59291,9778
830,64,59074,9808
840,64,58897,9752
850,64,61356,9874
860,64,60734,9887
870,64,59201,9595
880,64,58117,9711
890,64,58310,9617
900,64,57953,9395
910,64,57598,9425
920,64,58311,9415
930,64,58222,9418
940,64,58694,9398
950,64,55916,9172
960,64,56488,9221
970,64,55956,9201
980,64,57394,9129
990,64,56886,9120
1000,64,56824,9097
1010,64,58736,9211
1020,64,55356,9034
1030,64,56774,8982
1040,64,54816,8855
1050,64,56399,8891
1060,64,54933,8806
1070,64,54101,8735
1080,64,55042,8799
1090,64,53039,8726
1100,64,54951,8691
1110,64,54059,8636
1120,64,54401,8570
1130,64,54578,8584
1140,64,53435,8614
1150,64,56470,8654
1160,64,51823,8300
1170,64,54965,8498
1180,64,52112,8405
1190,64,54945,8514
1200,64,53106,8340
1210,64,52529,8258
1220,64,50471,8226
1230,64,53398,8229
1240,64,51916,8169
1250,64,51556,8181
1260,64,51722,8077
1270,64,52098,8170
1280,64,52867,8107
1290,64,56427,8135
1300,64,52624,8122
1310,64,52610,8036
1320,64,54433,8067
1330,64,51776,8070
1340,64,51691,7898
1350,64,54050,8010
1360,64,53181,7880
1370,64,51000,7860
1380,64,52710,7880
1390,64,52697,7876
1400,64,50984,7819
1410,64,52026,7836
1420,64,52282,7799
1430,64,52236,7727
1440,64,51757,7777
1450,64,52639,7727
1460,64,52402,7684
1470,64,54158,7762
1480,64,55357,7851
1490,64,51210,7656
1500,64,53773,7748
1510,64,55238,7799
1520,64,52793,7616
1530,64,53140,7621
1540,64,51489,7628
1550,64,52588,7543
1560,64,56117,7716
1570,64,54696,7563
1580,64,54173,7593
1590,64,60518,7740
1600,64,56139,7540
1610,64,54319,7493
1620,64,55794,7561
1630,64,50119,7402
1640,64,51377,7431
1650,64,56334,7596
1660,64,53396,7474
1670,64,53599,7506
1680,64,57082,7448
1690,64,55216,7437
1700,64,53838,7380
1710,64,55355,7410
1720,64,54653,7351
1730,64,53469,7336
1740,64,53343,7317
1750,64,56838,7394
1760,64,53242,7325
1770,64,54729,7387
1780,64,58527,7405
1790,64,54181,7265
1800,64,51561,7194
1810,64,60199,7316
1820,64,54170,7324
1830,64,50740,7306
1840,64,52926,7169
