PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10, 16, 182336, 15630
20, 16, 150601, 12007
30, 16, 138656, 11975
40, 16, 130669, 12123
50, 16, 126422, 12506
60, 16, 124474, 12811
70, 16, 124969, 13104
80, 16, 126767, 13298
90, 16, 129817, 13608
100, 16, 133650, 13563
110, 16, 138191, 13671
120, 16, 142420, 13708
130, 16, 147249, 13762
140, 16, 151781, 13663
150, 16, 156060, 13812
160, 16, 160600, 13793
170, 16, 164865, 13502
180, 16, 168479, 13679
190, 16, 173637, 13673
200, 16, 175888, 13806
210, 16, 179761, 13619
220, 16, 182118, 13688
230, 16, 185175, 13534
240, 16, 187692, 13613
250, 16, 190581, 13486
260, 16, 193806, 13551
270, 16, 195707, 13621
280, 16, 196623, 13420
290, 16, 200660, 13579
300, 16, 202974, 13533
310, 16, 204536, 13440
320, 16, 206594, 13542
330, 16, 208871, 13373
340, 16, 210389, 13272
350, 16, 211998, 13323
360, 16, 213365, 13377
370, 16, 215130, 13220
380, 16, 217765, 13235
390, 16, 219709, 13307
400, 16, 218390, 13204
410, 16, 221720, 13206
420, 16, 221500, 13131
430, 16, 221084, 13094
440, 16, 225194, 13187
450, 16, 225216, 13143
460, 16, 226291, 13003
470, 16, 226362, 13090
480, 16, 229215, 13098
490, 16, 231119, 12986
500, 16, 231170, 12906
510, 16, 233177, 12842
520, 16, 235078, 13000
530, 16, 233146, 12938
540, 16, 235341, 12928
550, 16, 238524, 12897
560, 16, 235892, 12791
570, 16, 240264, 12845
580, 16, 238020, 12877
590, 16, 240784, 12828
600, 16, 241757, 12956
610, 16, 241945, 12928
620, 16, 243796, 12883
630, 16, 242918, 12897
640, 16, 245062, 12863
650, 16, 246182, 13075
660, 16, 245202, 12807
670, 16, 248238, 12830
680, 16, 247705, 12776
690, 16, 250281, 12819
700, 16, 247898, 12949
710, 16, 251130, 12884
720, 16, 247956, 12639
730, 16, 252018, 12736
740, 16, 251685, 12720
750, 16, 252200, 12617
760, 16, 251683, 12633
770, 16, 253995, 12889
780, 16, 254956, 12748
790, 16, 256407, 12801
800, 16, 256270, 12875
810, 16, 258595, 13067
820, 16, 255775, 12707
830, 16, 257129, 12645
840, 16, 256496, 12786
850, 16, 257416, 12627
860, 16, 258443, 12733
870, 16, 260443, 12819
880, 16, 259096, 12649
890, 16, 263040, 13061
900, 16, 261927, 13022
910, 16, 262164, 12730
920, 16, 263223, 12714
930, 16, 264606, 12791
940, 16, 263600, 13009
950, 16, 264360, 12770
960, 16, 264830, 13051
970, 16, 265004, 12737
980, 16, 266419, 13052
990, 16, 265456, 12867
1000, 16, 268093, 12940
1010, 16, 268233, 12859
1020, 16, 268784, 13018
1030, 16, 270208, 13054
1040, 16, 269938, 13229
1050, 16, 269863, 13057
1060, 16, 267601, 13070
1070, 16, 268998, 13047
1080, 16, 268783, 12948
1090, 16, 271898, 13339
1100, 16, 273691, 13539
1110, 16, 272843, 13231
1120, 16, 272787, 13325
1130, 16, 273855, 13247
1140, 16, 273628, 13453
1150, 16, 273552, 13355
1160, 16, 275776, 13468
1170, 16, 277887, 13585
1180, 16, 274905, 13078
1190, 16, 276480, 13219
1200, 16, 276223, 13422
1210, 16, 277435, 13560
1220, 16, 276273, 13517
1230, 16, 276845, 13083
1240, 16, 279167, 13576
1250, 16, 279695, 13189
1260, 16, 276539, 13344
1270, 16, 279935, 13495
1280, 16, 278745, 13419
1290, 16, 281326, 13640
1300, 16, 281876, 14015
1310, 16, 279840, 13432
1320, 16, 282426, 13780
1330, 16, 281707, 13949
1340, 16, 283339, 13725
1350, 16, 282553, 13569
1360, 16, 285197, 14064
1370, 16, 284841, 13575
1380, 16, 285216, 13866
1390, 16, 285062, 13979
1400, 16, 285463, 13896
1410, 16, 286736, 14391
1420, 16, 285030, 13736
1430, 16, 288419, 14398
1440, 16, 286097, 14074
1450, 16, 287627, 14060
1460, 16, 288916, 14165
1470, 16, 288806, 14179
1480, 16, 289742, 14452
1490, 16, 288260, 14469
1500, 16, 289593, 14018
1510, 16, 291722, 14476
1520, 16, 288601, 14415
1530, 16, 294218, 14948
1540, 16, 293628, 15186
1550, 16, 292282, 14326
1560, 16, 292702, 14802
1570, 16, 294179, 14633
1580, 16, 294512, 14530
1590, 16, 293428, 14889
1600, 16, 295979, 15085
1610, 16, 297588, 15374
1620, 16, 295210, 14835
1630, 16, 297286, 15014
1640, 16, 295233, 14938
1650, 16, 299207, 15549
1660, 16, 296467, 14868
1670, 16, 298030, 15351
1680, 16, 296534, 15135
1690, 16, 295165, 14929
1700, 16, 300590, 15974
1710, 16, 298056, 15118
1720, 16, 297158, 15193
1730, 16, 303408, 16481
1740, 16, 300218, 15681
1750, 16, 298983, 15022
1760, 16, 300767, 15676
1770, 16, 301441, 15289
1780, 16, 304573, 16539
1790, 16, 301531, 15572
1800, 16, 302478, 15552
1810, 16, 304009, 15985
1820, 16, 301211, 15559
1830, 16, 306407, 16177
1840, 16, 306431, 16119
1850, 16, 305248, 16308
1860, 16, 305053, 15792
1870, 16, 303028, 15156
1880, 16, 303389, 15954
1890, 16, 304942, 16012
1900, 16, 306028, 16148
1910, 16, 308904, 16856
1920, 16, 307233, 16705
1930, 16, 305864, 16188
1940, 16, 307514, 15840
1950, 16, 308500, 16514
1960, 16, 308949, 16029
1970, 16, 310364, 16516
1980, 16, 305975, 16174
1990, 16, 309036, 16545
2000, 16, 311348, 16719
2010, 16, 310555, 16480
2020, 16, 313323, 17142
2030, 16, 311217, 16345
2040, 16, 312696, 16783
2050, 16, 313251, 17377
2060, 16, 314704, 17134
2070, 16, 313641, 16890
2080, 16, 311480, 16326
2090, 16, 315123, 17265
2100, 16, 311373, 16884
2110, 16, 314966, 16592
2120, 16, 311545, 16925
2130, 16, 314239, 16742
2140, 16, 312589, 16417
2150, 16, 312608, 16348
2160, 16, 313717, 16830
2170, 16, 318654, 17517
2180, 16, 317807, 17540
2190, 16, 315339, 16650
2200, 16, 318608, 17584
2210, 16, 318324, 17142
2220, 16, 317412, 17760
2230, 16, 321065, 18069
2240, 16, 321221, 18263
2250, 16, 318071, 17803
2260, 16, 318970, 17645
2270, 16, 318683, 17574
2280, 16, 319229, 17563
