PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10, 8, 70709, 10953
20, 8, 45094, 6898
30, 8, 38486, 7588
40, 8, 33327, 8242
50, 8, 29581, 7055
60, 8, 30813, 7343
70, 8, 28064, 7109
80, 8, 29176, 7929
90, 8, 31048, 8476
100, 8, 30901, 8781
110, 8, 30152, 8977
120, 8, 31985, 9006
130, 8, 33300, 9019
140, 8, 36985, 9142
150, 8, 38620, 9086
160, 8, 38418, 8973
170, 8, 39815, 8855
180, 8, 41050, 8740
190, 8, 39245, 8349
200, 8, 41389, 8039
210, 8, 43017, 7752
220, 8, 42357, 7328
230, 8, 41619, 6835
240, 8, 42356, 6921
250, 8, 42261, 6810
260, 8, 42346, 6670
270, 8, 43282, 6552
280, 8, 43560, 6726
290, 8, 43835, 6621
300, 8, 45138, 6606
310, 8, 45369, 6332
320, 8, 45971, 6205
330, 8, 46396, 6039
340, 8, 46419, 6098
350, 8, 47051, 5993
360, 8, 47869, 5858
370, 8, 47906, 5723
380, 8, 44503, 5707
390, 8, 48205, 5464
400, 8, 49880, 5564
410, 8, 49741, 5382
420, 8, 49804, 5228
430, 8, 49487, 5056
440, 8, 51097, 5179
450, 8, 50451, 5066
460, 8, 49610, 4834
470, 8, 50184, 4769
480, 8, 50505, 4787
490, 8, 51096, 5011
500, 8, 51043, 4988
510, 8, 51355, 5020
520, 8, 49962, 4921
530, 8, 51928, 5004
540, 8, 52128, 4939
550, 8, 52641, 4937
560, 8, 52701, 4935
570, 8, 51269, 4936
580, 8, 52805, 4938
590, 8, 53793, 4900
600, 8, 53913, 4892
610, 8, 54192, 4869
620, 8, 55245, 5021
630, 8, 54561, 4770
640, 8, 54412, 4822
650, 8, 54942, 4638
660, 8, 54947, 4530
670, 8, 55733, 4631
680, 8, 55113, 4507
690, 8, 54258, 4410
700, 8, 54699, 4550
710, 8, 55320, 4494
720, 8, 56094, 4739
730, 8, 54056, 4688
740, 8, 55587, 4802
750, 8, 55538, 4729
760, 8, 53651, 4957
770, 8, 56814, 4845
780, 8, 55982, 4649
790, 8, 56712, 4709
800, 8, 55606, 4750
810, 8, 57529, 4737
820, 8, 58684, 4914
830, 8, 58061, 4682
840, 8, 58084, 4774
850, 8, 59434, 4719
860, 8, 58495, 4770
870, 8, 57857, 4740
880, 8, 59575, 4896
890, 8, 58949, 4616
900, 8, 59726, 4638
910, 8, 57858, 4621
920, 8, 58270, 4562
930, 8, 59244, 4542
940, 8, 60363, 4713
950, 8, 58584, 4762
960, 8, 59220, 4525
970, 8, 58668, 4775
980, 8, 60197, 4909
990, 8, 60432, 4923
1000, 8, 61502, 5042
1010, 8, 60542, 4872
1020, 8, 60892, 4999
1030, 8, 59625, 4658
1040, 8, 59142, 4538
1050, 8, 61396, 5054
1060, 8, 60118, 4565
1070, 8, 62026, 4951
1080, 8, 61867, 4771
1090, 8, 61055, 4680
1100, 8, 61767, 4966
1110, 8, 61531, 4872
1120, 8, 61531, 4923
1130, 8, 62292, 4505
1140, 8, 57013, 4542
1150, 8, 62667, 4783
1160, 8, 60044, 4250
1170, 8, 63142, 5033
1180, 8, 62280, 4869
1190, 8, 62562, 4881
1200, 8, 61945, 4773
1210, 8, 62940, 5054
1220, 8, 62535, 4693
1230, 8, 61808, 4770
1240, 8, 64588, 5154
1250, 8, 62027, 4518
1260, 8, 61934, 4837
1270, 8, 64277, 4913
1280, 8, 63820, 4973
1290, 8, 61743, 4777
1300, 8, 62783, 4618
1310, 8, 64754, 5183
1320, 8, 63346, 4854
1330, 8, 61976, 4929
1340, 8, 65860, 5536
1350, 8, 63949, 4630
1360, 8, 64176, 4855
1370, 8, 58969, 4676
1380, 8, 63608, 4702
1390, 8, 66712, 5562
1400, 8, 66631, 5548
1410, 8, 65238, 5022
1420, 8, 63884, 4715
1430, 8, 63099, 5011
1440, 8, 64478, 5120
1450, 8, 65030, 5204
1460, 8, 64131, 5179
1470, 8, 66475, 5268
1480, 8, 64423, 5241
1490, 8, 64879, 5143
1500, 8, 67660, 5682
1510, 8, 65931, 5221
1520, 8, 60730, 4998
1530, 8, 66395, 5179
1540, 8, 67880, 5589
1550, 8, 66442, 5320
1560, 8, 64454, 4932
1570, 8, 64633, 4662
1580, 8, 65980, 4651
1590, 8, 65396, 4579
1600, 8, 63861, 4754
1610, 8, 66482, 5092
1620, 8, 66830, 5150
1630, 8, 71023, 6042
1640, 8, 68290, 5604
1650, 8, 68302, 5518
1660, 8, 63181, 4571
1670, 8, 65203, 4905
1680, 8, 64794, 4873
1690, 8, 73026, 6668
1700, 8, 67876, 5150
1710, 8, 66083, 5314
1720, 8, 66412, 5035
1730, 8, 71155, 6138
1740, 8, 66073, 5042
1750, 8, 68322, 5444
1760, 8, 65376, 4790
1770, 8, 66081, 5120
1780, 8, 66962, 5073
1790, 8, 66332, 4707
1800, 8, 67754, 5183
1810, 8, 68483, 5065
1820, 8, 67218, 5142
1830, 8, 67183, 5123
1840, 8, 69862, 5463
1850, 8, 70096, 5621
1860, 8, 68920, 5579
1870, 8, 68563, 5598
1880, 8, 67246, 5017
1890, 8, 69422, 5621
1900, 8, 71075, 6497
1910, 8, 69014, 5178
1920, 8, 69165, 5649
1930, 8, 69101, 5607
1940, 8, 65909, 5404
1950, 8, 72497, 6119
1960, 8, 64897, 4979
1970, 8, 72048, 5846
1980, 8, 68212, 5384
1990, 8, 68759, 5513
2000, 8, 71643, 5905
2010, 8, 70514, 5811
2020, 8, 69269, 5357
2030, 8, 71777, 5811
2040, 8, 71104, 5611
2050, 8, 73430, 5832
2060, 8, 70688, 5615
2070, 8, 69490, 5366
2080, 8, 69142, 5407
2090, 8, 70466, 5837
2100, 8, 71238, 5864
2110, 8, 69443, 5458
2120, 8, 69199, 5189
2130, 8, 70547, 5613
2140, 8, 71677, 5781
2150, 8, 70567, 5511
2160, 8, 69266, 5317
2170, 8, 74563, 6578
2180, 8, 73334, 6092
2190, 8, 70806, 5901
2200, 8, 71320, 5641
2210, 8, 71867, 5975
2220, 8, 73607, 5983
2230, 8, 73682, 6450
2240, 8, 69900, 5688
2250, 8, 71610, 5888
2260, 8, 71257, 5156
2270, 8, 74019, 5937
2280, 8, 64908, 4917
2290, 8, 75298, 6903
2300, 8, 74449, 6048
2310, 8, 71254, 5592
2320, 8, 68770, 4734
2330, 8, 73333, 5939
2340, 8, 73475, 6288
2350, 8, 72157, 5860
2360, 8, 72308, 5780
2370, 8, 71566, 5813
2380, 8, 72824, 5993
2390, 8, 72723, 5972
2400, 8, 67386, 4810
2410, 8, 73724, 5727
2420, 8, 73466, 6079
2430, 8, 77162, 6923
2440, 8, 71919, 5624
2450, 8, 76120, 6705
2460, 8, 70902, 5553
2470, 8, 72974, 6223
2480, 8, 74650, 5819
2490, 8, 69954, 5147
2500, 8, 71765, 5364
2510, 8, 70977, 5573
2520, 8, 72885, 6061
2530, 8, 78553, 7010
2540, 8, 77725, 6500
2550, 8, 73782, 6235
2560, 8, 72415, 5767
2570, 8, 69826, 5438
2580, 8, 71439, 5594
2590, 8, 75371, 6144
2600, 8, 70943, 5360
2610, 8, 73524, 6124
2620, 8, 76801, 6827
2630, 8, 69249, 5275
2640, 8, 73923, 6062
2650, 8, 79077, 7390
2660, 8, 71915, 6454
2670, 8, 75559, 6118
2680, 8, 66784, 4614
2690, 8, 76691, 6524
2700, 8, 70091, 5136
2710, 8, 72868, 5855
2720, 8, 75258, 6188
2730, 8, 74075, 5833
2740, 8, 68653, 5730
2750, 8, 73664, 6033
2760, 8, 74615, 5770
2770, 8, 77639, 6389
2780, 8, 79393, 7058
2790, 8, 75953, 6220
2800, 8, 75723, 6538
2810, 8, 74929, 6174
2820, 8, 73881, 5727
2830, 8, 77180, 6698
2840, 8, 72360, 5361
2850, 8, 69976, 5176
2860, 8, 69463, 5046
2870, 8, 75327, 6146
2880, 8, 76668, 6648
2890, 8, 76534, 6441
2900, 8, 75220, 6206
2910, 8, 76540, 6477
2920, 8, 79745, 7468
2930, 8, 78342, 6539
2940, 8, 75318, 5958
2950, 8, 81594, 7022
2960, 8, 76134, 6824
2970, 8, 75894, 6348
2980, 8, 77849, 6736
2990, 8, 80098, 7195
3000, 8, 79529, 7000
3010, 8, 76634, 6125
3020, 8, 77654, 6450
3030, 8, 73985, 5885
3040, 8, 69651, 5517
3050, 8, 70639, 4972
3060, 8, 73851, 5752
3070, 8, 74580, 5981
3080, 8, 76995, 7017
3090, 8, 75430, 6277
3100, 8, 76524, 6358
3110, 8, 73401, 5780
3120, 8, 77159, 6736
3130, 8, 80416, 7275
3140, 8, 75996, 5948
3150, 8, 78499, 7014
3160, 8, 75444, 6486
3170, 8, 78363, 6899
3180, 8, 77535, 6215
3190, 8, 75031, 5947
3200, 8, 75973, 6442
3210, 8, 77820, 6610
3220, 8, 76365, 6475
3230, 8, 76569, 6476
3240, 8, 76682, 6294
3250, 8, 74671, 6239
3260, 8, 89648, 9296
3270, 8, 70794, 4818
3280, 8, 79659, 6787
3290, 8, 77843, 6624
3300, 8, 80636, 7095
3310, 8, 77730, 6372
3320, 8, 76417, 5757
3330, 8, 77611, 6532
3340, 8, 79186, 6898
3350, 8, 81657, 7580
3360, 8, 76837, 6878
3370, 8, 78897, 6745
3380, 8, 83629, 8445
3390, 8, 78352, 6843
3400, 8, 81206, 7030
3410, 8, 84075, 8078
3420, 8, 71265, 5779
3430, 8, 76141, 6824
3440, 8, 77480, 6279
3450, 8, 79966, 6814
3460, 8, 81270, 7199
3470, 8, 80954, 6900
