PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10,64,310823,50867
20,64,249107,40214
30,64,216459,34004
40,64,192453,30001
50,64,179492,27399
60,64,169028,25498
70,64,160516,24062
80,64,152695,22926
90,64,149973,22193
100,64,145539,21321
110,64,140808,20577
120,64,135745,19838
130,64,132680,19358
140,64,131561,18841
150,64,127549,18368
160,64,121402,17758
170,64,119739,17424
180,64,116141,16979
190,64,115842,16811
200,64,112971,16461
210,64,113772,16349
220,64,108368,15842
230,64,107920,15697
240,64,106221,15513
250,64,105434,15318
260,64,104033,15093
270,64,102020,14901
280,64,102330,14890
290,64,99901,14702
300,64,100337,14610
310,64,97939,14347
320,64,97476,14349
330,64,95972,14060
340,64,96154,14076
350,64,94294,13942
360,64,94936,13965
370,64,92617,13705
380,64,91582,13612
390,64,91984,13655
400,64,90723,13505
410,64,89995,13417
420,64,88915,13359
430,64,89919,13403
440,64,89111,13268
450,64,88547,13157
460,64,88043,13044
470,64,87564,13099
480,64,87946,13050
490,64,85793,12864
500,64,84743,12770
510,64,85551,12879
520,64,84473,12695
530,64,83644,12665
540,64,82876,12574
550,64,83227,12576
560,64,83020,12537
570,64,84032,12563
580,64,84952,12541
590,64,83442,12388
600,64,82508,12298
610,64,81531,12236
620,64,81935,12218
630,64,83095,12281
640,64,84026,12212
650,64,82851,12134
660,64,82536,12147
670,64,84022,12084
680,64,80398,11927
690,64,79790,11846
700,64,80371,11879
710,64,79985,11838
720,64,84457,12029
730,64,81686,11818
740,64,82089,11746
750,64,82137,11742
760,64,82365,11791
770,64,81723,11660
780,64,82455,11671
790,64,83322,11705
800,64,82458,11731
810,64,84726,11731
820,64,84692,11705
830,64,84923,11682
840,64,82070,11553
850,64,88623,11768
860,64,86903,11658
870,64,82521,11483
880,64,89715,11686
890,64,83830,11474
900,64,84235,11466
910,64,85880,11497
920,64,90824,11611
930,64,85949,11450
940,64,90339,11561
950,64,91462,11603
960,64,87016,11362
970,64,89773,11413
980,64,88617,11366
990,64,89054,11372
1000,64,89508,11384
1010,64,94769,11478
1020,64,88009,11293
1030,64,89882,11212
1040,64,92990,11302
1050,64,92512,11275
1060,64,94075,11296
1070,64,92073,11179
1080,64,92049,11174
1090,64,95385,11282
1100,64,91451,11173
1110,64,96265,11157
1120,64,94029,11171
1130,64,97583,11124
1140,64,95345,11095
1150,64,95738,11058
1160,64,97748,11068
1170,64,97540,11075
1180,64,97604,11067
1190,64,102064,11119
1200,64,102361,11120
1210,64,99568,11085
1220,64,99564,11030
1230,64,99166,11012
1240,64,100759,11003
1250,64,103835,11025
1260,64,101507,10974
1270,64,103969,11007
1280,64,105493,11026
1290,64,104634,11000
1300,64,105607,11013
1310,64,105211,10935
1320,64,104741,10931
1330,64,105268,10917
1340,64,105748,10917
1350,64,106963,10924
1360,64,108096,10885
1370,64,106204,10887
1380,64,109278,10958
1390,64,108740,10846
