PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10, 64, 161421, 11728
20, 64, 138687, 9999
30, 64, 128428, 9367
40, 64, 119689, 9190
50, 64, 111359, 8731
60, 64, 106626, 8840
70, 64, 102111, 8458
80, 64, 99577, 8316
90, 64, 97446, 8635
100, 64, 94630, 8192
110, 64, 92560, 8305
120, 64, 88141, 7822
130, 64, 87173, 8351
140, 64, 83435, 7283
150, 64, 83821, 7837
160, 64, 83177, 7853
170, 64, 80447, 7558
180, 64, 78253, 7379
190, 64, 78119, 7311
200, 64, 75883, 6813
210, 64, 74246, 6881
220, 64, 75418, 6987
230, 64, 72837, 7031
240, 64, 70726, 6571
250, 64, 71237, 6911
260, 64, 71029, 6583
270, 64, 70222, 6617
280, 64, 68777, 6544
290, 64, 67802, 6524
300, 64, 67329, 6535
310, 64, 67783, 6626
320, 64, 67087, 6778
330, 64, 66460, 6483
340, 64, 65856, 6653
350, 64, 65311, 6688
360, 64, 65980, 6876
370, 64, 64937, 6759
380, 64, 64850, 6819
390, 64, 64583, 6873
400, 64, 63977, 6879
410, 64, 63867, 6905
420, 64, 63707, 7011
430, 64, 63871, 7088
440, 64, 63882, 7184
450, 64, 63338, 7070
460, 64, 63491, 7157
470, 64, 63002, 7236
480, 64, 63349, 7276
490, 64, 62950, 7201
500, 64, 63060, 7263
510, 64, 63164, 7375
520, 64, 62602, 7414
530, 64, 63028, 7506
540, 64, 63238, 7535
550, 64, 63386, 7658
560, 64, 63771, 7639
570, 64, 63928, 7664
580, 64, 64012, 7768
590, 64, 63931, 7875
600, 64, 64186, 7824
610, 64, 64340, 7901
620, 64, 64710, 7973
630, 64, 65159, 8068
640, 64, 65361, 8048
650, 64, 66058, 8080
660, 64, 66904, 8048
670, 64, 67181, 8026
680, 64, 67740, 8163
690, 64, 67681, 8096
700, 64, 67932, 8150
710, 64, 67963, 8240
720, 64, 69733, 8259
730, 64, 69999, 8274
740, 64, 70832, 8222
750, 64, 70687, 8191
760, 64, 71869, 8231
