PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10,32,425770,56488
20,32,357210,53966
30,32,312769,51869
40,32,281243,49322
50,32,257957,44820
60,32,236239,40872
70,32,211702,37669
80,32,192168,34628
90,32,181002,32433
100,32,170477,30451
110,32,162579,28922
120,32,156222,27610
130,32,153606,27229
140,32,144354,25695
150,32,135274,24392
160,32,134650,24017
170,32,132979,23629
180,32,123654,22109
190,32,124466,22054
200,32,118348,20998
210,32,114426,20368
220,32,111101,19745
230,32,108122,19247
240,32,107224,18976
250,32,109468,19102
260,32,102323,18071
270,32,107482,18652
280,32,105874,18317
290,32,100358,17471
300,32,99730,17394
310,32,96835,16804
320,32,102518,17500
330,32,96044,16574
340,32,95710,16427
350,32,95008,16308
360,32,95906,16299
370,32,89544,15423
380,32,95176,16188
390,32,93214,15733
400,32,88261,15131
410,32,89950,15213
420,32,90962,15406
430,32,90641,15246
440,32,88768,14995
450,32,91052,15069
460,32,91298,15207
470,32,89171,14803
480,32,92221,15025
490,32,89769,14746
500,32,90960,14788
510,32,91796,14737
520,32,92052,14833
530,32,91694,14704
540,32,93074,14765
550,32,93257,14651
560,32,94320,14676
570,32,95762,14767
580,32,93754,14560
590,32,95269,14506
600,32,95561,14454
610,32,96035,14394
620,32,96552,14438
630,32,95065,14472
640,32,98262,14208
650,32,95951,14190
660,32,96916,14169
670,32,96776,14073
680,32,98550,13948
690,32,96601,14018
700,32,97715,13942
710,32,98510,13845
720,32,99002,13765
730,32,100138,13660
740,32,100183,13594
750,32,99150,13548
760,32,99017,13402
770,32,101469,13418
780,32,100871,13298
790,32,102243,13289
800,32,100640,13093
810,32,103269,13145
820,32,103202,13076
830,32,102632,13006
840,32,102695,12947
850,32,103077,12849
860,32,101877,12784
870,32,102852,12784
880,32,103360,12672
890,32,104529,12615
900,32,104123,12582
910,32,106062,12482
920,32,105548,12425
930,32,105039,12381
940,32,103995,12322
950,32,106227,12263
960,32,104845,12238
970,32,103197,12113
980,32,106741,12137
990,32,107059,12080
1000,32,108239,12024
1010,32,109202,11909
1020,32,108766,11955
1030,32,110394,11878
1040,32,108684,11774
1050,32,110378,11759
1060,32,109908,11745
1070,32,113231,11621
1080,32,111479,11592
1090,32,110432,11561
1100,32,111462,11522
1110,32,112835,11470
1120,32,114310,11432
1130,32,112211,11433
1140,32,114143,11291
1150,32,114443,11395
1160,32,116796,11244
1170,32,112613,11235
1180,32,116470,11204
1190,32,114270,11176
1200,32,115805,11184
1210,32,118005,11111
1220,32,112980,11065
1230,32,119119,11040
1240,32,119325,11017
1250,32,119845,10972
1260,32,114822,10942
1270,32,117222,10851
1280,32,121820,10869
1290,32,118809,10907
1300,32,118066,10733
1310,32,119229,10833
1320,32,118120,10825
1330,32,122885,10653
1340,32,122408,10693
1350,32,119723,10610
1360,32,119200,10606
1370,32,121456,10605
1380,32,119631,10618
1390,32,119167,10556
1400,32,121232,10516
1410,32,123021,10459
1420,32,124515,10449
1430,32,119738,10324
1440,32,124042,10409
1450,32,123976,10344
1460,32,124438,10312
1470,32,125861,10279
1480,32,124822,10252
1490,32,127693,10247
1500,32,124013,10204
1510,32,125580,10157
1520,32,124006,10132
1530,32,126309,10223
1540,32,126418,10178
1550,32,126677,10067
1560,32,128468,10055
1570,32,133478,10150
1580,32,124278,10019
1590,32,129554,10053
1600,32,131493,10024
1610,32,129229,10032
1620,32,133953,10053
1630,32,129261,9903
1640,32,136853,10005
1650,32,134888,9903
1660,32,133446,9920
1670,32,132848,9860
1680,32,137252,9901
1690,32,133612,9831
1700,32,131778,9792
1710,32,133972,9783
1720,32,132984,9742
1730,32,135388,9831
1740,32,134143,9722
1750,32,139230,9753
1760,32,135371,9686
1770,32,138655,9691
1780,32,137095,9636
1790,32,138976,9656
1800,32,135074,9577
1810,32,136622,9653
1820,32,144826,9602
1830,32,138030,9532
1840,32,139813,9571
1850,32,139421,9517
1860,32,140533,9518
1870,32,139551,9525
1880,32,139359,9421
1890,32,141472,9537
