PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10, 128, 28792, 84
20, 128, 8939, 80
30, 128, 5503, 94
40, 128, 2578, 95
50, 128, 2464, 113
60, 128, 2343, 102
70, 128, 2313, 110
80, 128, 2272, 120
90, 128, 2097, 92
100, 128, 2119, 115
110, 128, 2107, 92
120, 128, 2032, 113
130, 128, 1995, 106
140, 128, 1922, 101
150, 128, 1910, 104
160, 128, 1867, 101
170, 128, 1857, 95
180, 128, 1814, 97
190, 128, 1778, 103
200, 128, 1785, 101
210, 128, 1733, 102
220, 128, 1753, 108
230, 128, 1714, 91
240, 128, 1714, 89
250, 128, 1739, 94
260, 128, 1691, 101
270, 128, 1697, 97
280, 128, 1663, 96
290, 128, 1653, 91
300, 128, 1668, 107
310, 128, 1633, 92
320, 128, 1646, 97
330, 128, 1667, 112
340, 128, 1606, 93
350, 128, 1590, 94
360, 128, 1611, 104
370, 128, 1572, 90
380, 128, 1568, 101
390, 128, 1575, 85
400, 128, 1554, 95
410, 128, 1594, 96
420, 128, 1581, 95
430, 128, 1545, 96
440, 128, 1502, 102
450, 128, 1563, 100
460, 128, 1515, 100
470, 128, 1520, 103
480, 128, 1494, 95
490, 128, 1491, 94
500, 128, 1503, 101
510, 128, 1511, 103
520, 128, 1547, 102
530, 128, 1477, 102
540, 128, 1491, 100
550, 128, 1484, 105
560, 128, 1482, 106
570, 128, 1480, 105
580, 128, 1433, 105
590, 128, 1450, 100
600, 128, 1458, 104
610, 128, 1457, 106
620, 128, 1434, 98
630, 128, 1431, 98
640, 128, 1480, 110
650, 128, 1395, 104
660, 128, 1417, 103
670, 128, 1439, 118
680, 128, 1444, 108
690, 128, 1384, 107
700, 128, 1392, 101
710, 128, 1411, 112
720, 128, 1387, 105
730, 128, 1395, 108
740, 128, 1390, 104
750, 128, 1397, 116
760, 128, 1364, 107
770, 128, 1375, 104
780, 128, 1416, 108
790, 128, 1361, 111
800, 128, 1387, 114
810, 128, 1411, 133
820, 128, 1401, 123
830, 128, 1375, 134
840, 128, 1357, 119
850, 128, 1340, 106
860, 128, 1339, 107
870, 128, 1339, 104
880, 128, 1337, 109
890, 128, 1338, 115
900, 128, 1303, 110
910, 128, 1293, 110
920, 128, 1324, 110
930, 128, 1351, 119
940, 128, 1331, 105
950, 128, 1328, 103
960, 128, 1279, 109
970, 128, 1286, 105
980, 128, 1294, 107
990, 128, 1302, 99
1000, 128, 1301, 104
1010, 128, 1291, 102
1020, 128, 1286, 105
1030, 128, 1266, 97
1040, 128, 1300, 107
1050, 128, 1274, 114
1060, 128, 1264, 113
1070, 128, 1264, 108
1080, 128, 1265, 115
1090, 128, 1259, 111
1100, 128, 1269, 116
1110, 128, 1267, 109
1120, 128, 1247, 109
1130, 128, 1269, 121
1140, 128, 1268, 113
1150, 128, 1292, 134
1160, 128, 1249, 123
1170, 128, 1294, 128
1180, 128, 1292, 125
1190, 128, 1292, 127
1200, 128, 1331, 123
1210, 128, 1356, 135
1220, 128, 1290, 125
1230, 128, 1359, 132
1240, 128, 1316, 138
1250, 128, 1348, 138
1260, 128, 1299, 135
1270, 128, 1304, 126
1280, 128, 1267, 128
1290, 128, 1285, 126
1300, 128, 1262, 132
1310, 128, 1253, 129
1320, 128, 1266, 129
1330, 128, 1269, 134
1340, 128, 1279, 130
1350, 128, 1283, 128
1360, 128, 1289, 143
1370, 128, 1229, 129
1380, 128, 1250, 133
1390, 128, 1271, 135
1400, 128, 1254, 129
1410, 128, 1248, 129
1420, 128, 1227, 135
1430, 128, 1260, 128
1440, 128, 1213, 125
1450, 128, 1232, 135
1460, 128, 1188, 123
1470, 128, 1242, 127
1480, 128, 1248, 133
1490, 128, 1223, 123
1500, 128, 1210, 124
1510, 128, 1229, 133
1520, 128, 1165, 117
1530, 128, 1224, 123
1540, 128, 1197, 126
1550, 128, 1157, 117
1560, 128, 1175, 119
1570, 128, 1209, 116
1580, 128, 1205, 127
1590, 128, 1212, 132
1600, 128, 1202, 122
1610, 128, 1222, 131
1620, 128, 1188, 118
1630, 128, 1245, 130
1640, 128, 1185, 125
1650, 128, 1208, 134
1660, 128, 1202, 123
1670, 128, 1211, 120
1680, 128, 1213, 123
1690, 128, 1196, 117
1700, 128, 1232, 127
1710, 128, 1169, 117
1720, 128, 1180, 120
1730, 128, 1165, 109
1740, 128, 1209, 123
1750, 128, 1142, 106
1760, 128, 1170, 113
1770, 128, 1153, 109
1780, 128, 1191, 115
1790, 128, 1193, 111
1800, 128, 1172, 112
1810, 128, 1217, 118
1820, 128, 1252, 128
1830, 128, 1206, 116
1840, 128, 1186, 121
1850, 128, 1221, 129
1860, 128, 1214, 116
1870, 128, 1248, 109
1880, 128, 1196, 115
1890, 128, 1218, 117
1900, 128, 1231, 116
1910, 128, 1223, 113
1920, 128, 1240, 115
1930, 128, 1180, 103
1940, 128, 1206, 101
1950, 128, 1220, 111
1960, 128, 1210, 97
1970, 128, 1193, 94
1980, 128, 1138, 93
1990, 128, 1165, 96
2000, 128, 1223, 99
2010, 128, 1188, 97
2020, 128, 1234, 106
2030, 128, 1218, 119
2040, 128, 1216, 117
2050, 128, 1251, 116
2060, 128, 1215, 120
2070, 128, 1194, 116
2080, 128, 1247, 119
2090, 128, 1252, 116
2100, 128, 1227, 115
2110, 128, 1226, 106
2120, 128, 1216, 115
2130, 128, 1210, 110
2140, 128, 1212, 105
2150, 128, 1222, 113
2160, 128, 1192, 110
2170, 128, 1250, 107
2180, 128, 1257, 104
