PERIOD, FRAMES, PAGE FAULTS, DISK WRITES
10, 32, 52732, 4249
20, 32, 33200, 2681
30, 32, 24923, 2500
40, 32, 15450, 1578
50, 32, 20880, 3648
60, 32, 17435, 2476
70, 32, 9372, 885
80, 32, 4060, 783
90, 32, 3957, 776
100, 32, 3644, 732
110, 32, 3727, 734
120, 32, 3505, 719
130, 32, 3408, 706
140, 32, 3493, 770
150, 32, 3384, 750
160, 32, 3274, 697
170, 32, 3221, 714
180, 32, 3213, 727
190, 32, 3151, 717
200, 32, 3129, 679
210, 32, 3039, 676
220, 32, 3025, 655
230, 32, 2905, 624
240, 32, 2964, 626
250, 32, 3146, 700
260, 32, 2933, 697
270, 32, 3116, 710
280, 32, 2945, 650
290, 32, 2900, 675
300, 32, 2844, 646
310, 32, 2887, 674
320, 32, 2836, 645
330, 32, 2894, 685
340, 32, 2885, 709
350, 32, 2811, 612
360, 32, 2813, 677
370, 32, 2821, 650
380, 32, 2770, 609
390, 32, 2803, 665
400, 32, 2823, 669
410, 32, 2870, 602
420, 32, 2827, 642
430, 32, 2783, 663
440, 32, 2798, 663
450, 32, 2671, 595
460, 32, 2710, 654
470, 32, 2682, 652
480, 32, 2877, 702
490, 32, 2856, 696
500, 32, 2778, 614
510, 32, 2746, 616
520, 32, 2822, 671
530, 32, 2805, 682
540, 32, 2888, 701
550, 32, 2900, 704
560, 32, 2885, 623
570, 32, 2760, 611
580, 32, 2797, 648
590, 32, 2831, 690
600, 32, 2837, 695
610, 32, 2980, 686
620, 32, 3058, 719
630, 32, 3051, 722
640, 32, 2911, 637
650, 32, 2819, 606
660, 32, 2808, 627
670, 32, 2929, 694
680, 32, 2884, 702
690, 32, 2956, 689
700, 32, 3006, 737
710, 32, 3144, 730
720, 32, 3121, 740
730, 32, 3241, 728
740, 32, 3178, 706
750, 32, 2898, 625
760, 32, 2862, 582
770, 32, 2777, 622
780, 32, 3092, 688
790, 32, 2992, 695
800, 32, 3064, 692
810, 32, 3254, 719
820, 32, 3252, 717
830, 32, 3400, 748
840, 32, 3250, 762
850, 32, 3293, 765
860, 32, 3469, 792
870, 32, 3498, 811
880, 32, 3307, 766
890, 32, 3363, 764
900, 32, 3069, 620
910, 32, 3052, 639
920, 32, 3091, 651
930, 32, 3205, 676
940, 32, 3197, 696
950, 32, 3102, 710
960, 32, 3177, 718
970, 32, 3271, 723
980, 32, 3267, 729
990, 32, 3485, 733
1000, 32, 3303, 760
1010, 32, 3547, 785
1020, 32, 3354, 761
1030, 32, 3539, 741
1040, 32, 3554, 782
1050, 32, 3748, 824
1060, 32, 3913, 829
1070, 32, 3728, 843
1080, 32, 3944, 843
1090, 32, 3894, 840
1100, 32, 4090, 853
1110, 32, 3933, 851
1120, 32, 3867, 767
1130, 32, 3544, 673
1140, 32, 3435, 688
1150, 32, 3716, 711
1160, 32, 3429, 740
1170, 32, 3521, 787
1180, 32, 3501, 764
1190, 32, 3565, 709
1200, 32, 3451, 711
1210, 32, 3768, 713
1220, 32, 3601, 763
1230, 32, 3816, 793
1240, 32, 3763, 783
1250, 32, 3867, 809
1260, 32, 3873, 817
1270, 32, 3807, 802
1280, 32, 3879, 815
1290, 32, 3811, 834
1300, 32, 4076, 803
1310, 32, 4147, 830
1320, 32, 3985, 834
1330, 32, 4077, 842
1340, 32, 4056, 864
1350, 32, 4026, 867
1360, 32, 4247, 867
1370, 32, 4053, 853
1380, 32, 4111, 870
1390, 32, 4239, 902
1400, 32, 4270, 900
1410, 32, 4507, 913
1420, 32, 4500, 917
1430, 32, 4572, 922
1440, 32, 4357, 915
1450, 32, 4630, 927
1460, 32, 4506, 891
1470, 32, 4573, 912
1480, 32, 4432, 899
1490, 32, 4614, 856
1500, 32, 3889, 702
1510, 32, 4024, 698
1520, 32, 3840, 684
1530, 32, 3762, 676
1540, 32, 3707, 711
1550, 32, 3999, 737
